seed,size,task,model,digits,bb_spec,operation,batch_size,_step,_runtime,accuracy,_timestamp
4,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,104.055715209,0.0,1767994049.9758747
0,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,111.919836512,0.0,1767994170.3167226
1,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,114.130225029,0.0,1767994292.5548258
2,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,79.107863806,0.57177734375,1767994379.6223102
3,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,63.204736573,0.7960205078125,1767994451.0785146
4,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,91.369556492,0.0,1767994550.400814
0,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,60.989336737,1.0,1767994619.5465088
1,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,54.60725633,0.97216796875,1767994682.5849607
2,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,53.224003034,0.9993896484375,1767994744.2347777
3,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,53.962545587,0.99853515625,1767994806.6130528
4,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,53.058458201,0.9970703125,1767994868.1582053
0,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,66.857230083,0.96337890625,1767994943.2669196
1,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,72.138889049,0.945556640625,1767995023.390161
2,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,56.349249022,0.997802734375,1767995088.226791
3,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,54.1012675,0.9990234375,1767995151.0685403
4,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,53.863414419,0.9951171875,1767995213.696986
0,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,84.153875127,0.3619384765625,1767995306.240347
1,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,78.473584308,0.8724365234375,1767995393.599517
2,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,69.142220282,0.555908203125,1767995471.2312863
3,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,75.112014824,0.941650390625,1767995555.218172
4,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,109.205575041,0.7027587890625,1767995673.3328094
